"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         164,      -6.888744912,      -6.531901694,      -6.819189597,      -6.742258345,      -6.258281505,      -9.624951757
          0,           0,         165,       -6.89949397,      -6.535292328,      -6.822881193,      -6.746305042,      -6.268989974,      -9.627695917
          0,           0,         166,      -6.909342625,      -6.538700746,      -6.826631159,      -6.750378541,      -6.278806531,      -9.630448975
          0,           0,         167,      -6.918378606,      -6.542090603,      -6.830444198,      -6.754447216,      -6.287798764,        -9.6332003
          0,           0,         168,      -6.926676182,      -6.545472658,      -6.834338076,      -6.758553147,      -6.296051388,      -9.635938604
          0,           0,         169,      -6.934569369,       -6.54885964,      -6.838318743,       -6.76273868,       -6.30389891,      -9.638658134
          0,           0,         170,      -6.942119091,      -6.552310754,      -6.842402453,      -6.767046783,      -6.311406047,      -9.641354169
          0,           0,         171,      -6.949326567,        -6.5557752,      -6.846588787,      -6.771472901,      -6.318592267,      -9.644012195
          0,           0,         172,      -6.956641773,      -6.559282218,      -6.850872331,      -6.776148585,      -6.325902685,      -9.646628375
          0,           0,         173,      -6.963616072,      -6.562846818,      -6.855259449,      -6.781037435,      -6.332920399,      -9.649198569
          0,           0,         174,      -6.970008501,       -6.56643092,      -6.859736377,      -6.785959188,      -6.339406208,      -9.651725479
          0,           0,         175,      -6.975926501,      -6.570011218,       -6.86428581,      -6.790946269,       -6.34541429,      -9.654209359
          0,           0,         176,      -6.982746195,      -6.573581984,      -6.868898214,      -6.796005333,      -6.352250922,      -9.656651578
          0,           0,         177,      -6.990220164,       -6.57714245,      -6.873561992,      -6.801163308,      -6.359733556,      -9.659054218
          0,           0,         178,      -6.996183025,      -6.580695476,      -6.878267846,      -6.806343909,      -6.365798527,      -9.661418893
          0,           0,         179,      -7.001718391,      -6.584215953,      -6.882993355,      -6.811564818,      -6.371395907,      -9.663747968
