Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
110,0.893828,2.67394,0.946896,0.892104,0.404206,0,0.979404,0.02723,0.0271842,0,0.0384767,0.854942,-0.323789,0.956495,0.998071,0.452219,0,1.09574
111,0.871607,2.61597,0.978459,0.910215,0.368139,0,0.981844,0.0326,0.0294811,0,0.0439533,0.825184,-0.390214,0.946739,1.0443,0.422368,0,1.12648
112,0.852089,2.56481,1.0063,0.923591,0.335444,0,0.982621,0.03844,0.0317181,0,0.0498365,0.799293,-0.448007,0.938039,1.08391,0.393672,0,1.15319
113,0.834733,2.51911,1.03117,0.933449,0.305804,0,0.982264,0.04474,0.0338903,0,0.0561268,0.776469,-0.498954,0.9302,1.11826,0.366349,0,1.17674
114,0.81923,2.47811,1.05343,0.940617,0.278886,0,0.98109,0.05149,0.0359934,0,0.0628231,0.756258,-0.544066,0.923133,1.14817,0.340425,0,1.19758
115,0.805339,2.44124,1.07345,0.945758,0.254396,0,0.979375,0.05869,0.0380264,0,0.0699323,0.73829,-0.584173,0.916745,1.17436,0.315887,0,1.2161
116,0.792696,2.40756,1.09175,0.949344,0.232032,0,0.977289,0.06633,0.0399851,0,0.0774499,0.72205,-0.620424,0.910879,1.19761,0.292712,0,1.23287
117,0.780899,2.37602,1.10883,0.951631,0.211505,0,0.974852,0.0744,0.0418661,0,0.0853705,0.707013,-0.653989,0.905384,1.21864,0.270849,0,1.24837
118,0.769774,2.3462,1.12506,0.952933,0.192622,0,0.972206,0.0829,0.0436679,0,0.0936979,0.692907,-0.685475,0.900144,1.23794,0.250232,0,1.26298
119,0.759251,2.31793,1.14051,0.953423,0.175164,0,0.96938,0.09181,0.0453853,0,0.102415,0.679639,-0.715092,0.895144,1.25574,0.230706,0,1.27676
120,0.74941,2.29141,1.15499,0.953253,0.158979,0,0.966419,0.10113,0.0470172,0,0.111525,0.667308,-0.742615,0.890445,1.272,0.212139,0,1.28957
121,0.740413,2.2671,1.16831,0.952666,0.143944,0,0.963479,0.11085,0.0485607,0,0.12102,0.656092,-0.767653,0.886115,1.28667,0.19441,0,1.30127
122,0.732213,2.24491,1.18055,0.951792,0.129926,0,0.960619,0.12095,0.0500119,0,0.130882,0.645909,-0.790382,0.882133,1.29988,0.177443,0,1.31194
123,0.724352,2.22355,1.19214,0.950428,0.116802,0,0.957579,0.13144,0.0513713,0,0.141122,0.636239,-0.811967,0.878355,1.31211,0.16125,0,1.32198
124,0.716542,2.20231,1.20387,0.948755,0.10449,0,0.954491,0.14229,0.0526344,0,0.151713,0.626634,-0.833406,0.874526,1.32407,0.145825,0,1.33208
125,0.708777,2.18115,1.21553,0.946668,0.092905,0,0.951216,0.15349,0.0537998,0,0.162646,0.617144,-0.85459,0.870716,1.33564,0.131078,0,1.34205
126,0.701582,2.16153,1.22652,0.944554,0.0820182,0,0.948108,0.16504,0.0548671,0,0.173921,0.608359,-0.874198,0.867125,1.34632,0.116905,0,1.35139
127,0.694989,2.14347,1.23644,0.942295,0.0717548,0,0.945023,0.17693,0.0558351,0,0.185531,0.600385,-0.891997,0.863878,1.35584,0.103246,0,1.35977
