"Time_Iter",    "Cur_Time"    ,     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,    "Avg_Press"   ,       "CD"       ,       "CL"       ,     "probe1"     
        192,              1.92,      -10.82844184,      -11.71553165,      -12.00153024,                 0,       1.070064804,   -0.001094872127,      0.1047311195
        193,              1.93,      -10.83131703,      -11.71521193,      -12.00361313,                 0,       1.069777405,   -0.002246238563,      0.1045385174
        194,              1.94,      -10.83047481,      -11.71196459,      -12.00016743,                 0,        1.06949628,   -0.003409648691,      0.1043460132
        195,              1.95,      -10.82942204,      -11.70913868,      -12.00069899,                 0,       1.069221526,   -0.004575177257,      0.1041535368
        196,              1.96,      -10.82741915,      -11.70556542,      -11.99864388,                 0,       1.068956269,   -0.005730560757,      0.1039610459
        197,              1.97,      -10.82447679,      -11.70194378,      -11.99706632,                 0,       1.068698015,   -0.006865326914,      0.1037685328
        198,              1.98,      -10.82137875,      -11.69853733,       -11.9951172,                 0,       1.068447199,   -0.007968689886,      0.1035760284
        199,              1.99,      -10.81802364,      -11.69543511,      -11.99252603,                 0,       1.068203363,   -0.009029362788,      0.1033836066
        200,                 2,       -10.8145676,      -11.69247737,      -11.98909496,                 0,       1.067965816,    -0.01003644194,      0.1031913859
        201,              2.01,      -10.81082995,      -11.68945392,       -11.9844827,                 0,        1.06773426,    -0.01097918291,      0.1029995315
        202,              2.02,      -10.80662288,      -11.68605593,      -11.97854822,                 0,       1.067508903,    -0.01184700783,      0.1028082549
        203,              2.03,      -10.80180455,      -11.68210225,        -11.971269,                 0,       1.067290084,    -0.01262973731,      0.1026178114
        204,              2.04,       -10.7963873,      -11.67757093,      -11.96281081,                 0,       1.067078097,    -0.01331767633,      0.1024284955
        205,              2.05,      -10.79051922,      -11.67261163,      -11.95345778,                 0,       1.066873079,    -0.01390175874,      0.1022406344
        206,              2.06,      -10.78441675,      -11.66745909,      -11.94353089,                 0,       1.066675053,    -0.01437361032,      0.1020545806
        207,              2.07,      -10.77827832,      -11.66235443,       -11.9333311,                 0,       1.066483983,    -0.01472562322,      0.1018707036
        208,              2.08,       -10.7722714,      -11.65749921,      -11.92312271,                 0,        1.06629981,    -0.01495102891,      0.1016893706
        209,              2.09,      -10.76650949,       -11.6530424,      -11.91312127,                 0,       1.066122478,    -0.01504398948,      0.1015109372
        210,               2.1,      -10.76108671,      -11.64909032,      -11.90352102,                 0,       1.065951971,      -0.014999685,      0.1013357339
        211,              2.11,      -10.75608451,      -11.64571099,      -11.89448534,                 0,       1.065788286,    -0.01481438619,      0.1011640497
        212,              2.12,      -10.75157166,      -11.64292663,      -11.88616142,                 0,       1.065631416,    -0.01448553087,      0.1009961166
        213,              2.13,      -10.74759843,      -11.64070668,      -11.87867391,                 0,       1.065481343,    -0.01401177593,      0.1008320926
        214,              2.14,      -10.74418229,      -11.63895169,      -11.87212357,                 0,       1.065338031,    -0.01339304888,      0.1006720455
        215,              2.15,      -10.74128409,      -11.63747787,      -11.86659048,                 0,       1.065201441,     -0.0126305992,      0.1005159389
        216,              2.16,      -10.73883615,      -11.63604036,      -11.86213214,                 0,        1.06507156,    -0.01172702197,        0.10036362
        217,              2.17,      -10.73672564,      -11.63434767,      -11.85879036,                 0,        1.06494842,    -0.01068628893,      0.1002148113
        218,              2.18,      -10.73481846,      -11.63209762,      -11.85656745,                 0,        1.06483213,    -0.00951374136,      0.1000691047
        219,              2.19,      -10.73345348,      -11.63062474,      -11.85611287,                 0,       1.064728882,   -0.008215940474,     0.09992596039
        220,               2.2,       -10.7318586,      -11.62672398,      -11.85596007,                 0,       1.064632658,   -0.006801419406,     0.09978470845
        221,              2.21,      -10.72984849,      -11.62164335,      -11.85606301,                 0,       1.064547833,   -0.005278949749,     0.09964455695
        222,              2.22,      -10.72663698,      -11.61517605,      -11.85540446,                 0,       1.064471434,   -0.003660078968,     0.09950460405
        223,              2.23,       -10.7211331,      -11.60714184,      -11.85307702,                 0,       1.064401837,   -0.001956445837,     0.09936385644
        224,              2.24,      -10.71285529,      -11.59738774,      -11.84935165,                 0,        1.06434193,  -0.0001804618079,     0.09922125326
        225,              2.25,      -10.70234937,      -11.58572545,      -11.84441417,                 0,        1.06429194,    0.001653920556,     0.09907569514
