"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         184,      -7.256331717,      -6.578448444,      -7.605930069,      -7.763566596,      -6.654507895,      -9.539594524
          0,           0,         185,      -7.258519661,      -6.580521016,      -7.612310591,      -7.774365281,      -6.656736019,       -9.53952156
          0,           0,         186,      -7.260957932,      -6.582621191,      -7.618550508,      -7.785005067,      -6.659205306,      -9.539457265
          0,           0,         187,      -7.263620484,       -6.58474401,      -7.624652212,      -7.795463191,      -6.661891993,      -9.539402261
          0,           0,         188,      -7.266472413,      -6.586883279,      -7.630625351,      -7.805737062,      -6.664763679,      -9.539357217
          0,           0,         189,      -7.269471746,      -6.589031932,      -7.636485845,      -7.815844235,      -6.667780721,       -9.53932269
          0,           0,         190,      -7.272571393,      -6.591182066,      -7.642253896,      -7.825819394,      -6.670897837,      -9.539299353
          0,           0,         191,      -7.275721367,      -6.593317492,      -7.647948568,      -7.835707331,      -6.674066082,      -9.539290472
          0,           0,         192,      -7.278868386,      -6.595412139,      -7.653584939,      -7.845549592,      -6.677232122,      -9.539289845
          0,           0,         193,      -7.281961013,      -6.597536893,      -7.659210845,      -7.855404625,      -6.680343888,      -9.539299422
          0,           0,         194,      -7.284959885,       -6.59962934,      -7.664821802,      -7.865325175,      -6.683360986,      -9.539319991
          0,           0,         195,      -7.287825067,       -6.60168285,      -7.670425874,      -7.875338005,      -6.686241646,      -9.539351283
          0,           0,         196,      -7.290523921,      -6.603695903,       -7.67602643,      -7.885448025,      -6.688951397,      -9.539393081
          0,           0,         197,      -7.293032434,      -6.605666439,      -7.681620702,      -7.895647818,      -6.691464678,      -9.539444756
          0,           0,         198,      -7.295335307,       -6.60759315,      -7.687201159,      -7.905916774,      -6.693765142,      -9.539505834
          0,           0,         199,      -7.297426244,       -6.60947589,      -7.692757042,      -7.916222956,      -6.695846111,      -9.539575914
          0,           0,         200,      -7.299307703,      -6.611315613,      -7.698276131,      -7.926527568,      -6.697710393,      -9.539654263
          0,           0,         201,      -7.300990138,      -6.613114393,      -7.703746198,       -7.93679041,      -6.699369469,      -9.539740136
          0,           0,         202,      -7.302490923,      -6.614875434,      -7.709156769,      -7.946975644,      -6.700842272,      -9.539833041
          0,           0,         203,      -7.303832956,      -6.616602746,      -7.714500069,      -7.957055937,      -6.702153586,      -9.539932449
          0,           0,         204,      -7.305043269,      -6.618301094,       -7.71977148,      -7.967015345,      -6.703332435,      -9.540037872
          0,           0,         205,      -7.306151569,      -6.619975669,      -7.724969483,      -7.976850505,       -6.70441039,      -9.540148948
          0,           0,         206,      -7.307188847,        -6.6216319,      -7.730095229,      -7.986569663,      -6.705419982,      -9.540265531
          0,           0,         207,      -7.308186069,       -6.62327522,      -7.735151816,      -7.996189823,      -6.706393277,      -9.540387348
          0,           0,         208,       -7.30917307,      -6.624910946,      -7.740143436,      -8.005732938,      -6.707360711,      -9.540514254
          0,           0,         209,      -7.310177607,      -6.626544164,      -7.745074451,      -8.015221575,      -6.708350149,      -9.540646439
          0,           0,         210,      -7.311224399,       -6.62817927,      -7.749948332,      -8.024674543,       -6.70938601,      -9.540783841
          0,           0,         211,      -7.312334525,      -6.629820048,       -7.75476739,      -8.034104343,      -6.710488753,      -9.540926568
          0,           0,         212,      -7.313524903,      -6.631469493,      -7.759532545,      -8.043514478,      -6.711674473,      -9.541074733
          0,           0,         213,      -7.314807996,      -6.633129776,      -7.764243435,      -8.052899195,      -6.712954736,      -9.541228586
          0,           0,         214,      -7.316191686,      -6.634802238,      -7.768898612,      -8.062244277,      -6.714336564,      -9.541388115
          0,           0,         215,      -7.317679285,      -6.636487428,      -7.773496219,      -8.071529538,      -6.715822525,      -9.541553556
          0,           0,         216,      -7.319269709,      -6.638185142,      -7.778034595,      -8.080731651,      -6.717410948,       -9.54172512
          0,           0,         217,      -7.320957781,      -6.639894477,      -7.782512848,      -8.089827782,      -6.719096249,      -9.541903021
          0,           0,         218,      -7.322734726,      -6.641613918,      -7.786931305,      -8.098798873,      -6.720869406,      -9.542087484
          0,           0,         219,      -7.324588532,      -6.643341428,      -7.791291691,      -8.107632664,      -6.722718285,      -9.542278747
          0,           0,         220,      -7.326504651,       -6.64507457,      -7.795597242,      -8.116324594,      -6.724628297,      -9.542477019
          0,           0,         221,      -7.328466787,      -6.646810658,      -7.799852609,      -8.124878189,      -6.726583121,      -9.542682668
          0,           0,         222,      -7.330457543,      -6.648546829,      -7.804063267,      -8.133304734,      -6.728565337,      -9.542895752
          0,           0,         223,      -7.332459207,       -6.65028019,      -7.808235117,      -8.141621318,      -6.730557169,      -9.543116261
          0,           0,         224,      -7.334454487,      -6.652007961,      -7.812374004,      -8.149848127,      -6.732541203,      -9.543344292
          0,           0,         225,      -7.336427214,      -6.653727602,      -7.816485236,       -8.15800548,      -6.734501102,      -9.543579959
          0,           0,         226,       -7.33836291,      -6.655436812,      -7.820573063,       -8.16611108,      -6.736422189,      -9.543823082
          0,           0,         227,      -7.340249305,       -6.65713366,      -7.824640547,      -8.174178257,      -6.738291995,        -9.5440737
          0,           0,         228,      -7.342076726,      -6.658816641,      -7.828689373,      -8.182214456,      -6.740100676,      -9.544331556
          0,           0,         229,      -7.343838308,      -6.660484712,      -7.832719928,      -8.190220992,      -6.741841277,      -9.544596334
          0,           0,         230,      -7.345530134,       -6.66213734,      -7.836731596,      -8.198193647,      -6.743509876,      -9.544867921
          0,           0,         231,      -7.347151191,      -6.663774462,      -7.840722922,      -8.206123717,       -6.74510557,      -9.545146135
          0,           0,         232,      -7.348703186,      -6.665396433,      -7.844691899,      -8.213999808,      -6.746630291,      -9.545430642
          0,           0,         233,      -7.350190288,      -6.667004026,      -7.848636388,      -8.221810088,      -6.748088538,       -9.54572119
